"ID";"Watergebruikers";"Perioden";"TotaalGrondwater_4";"GebruikVoorKoeling_5";"OverigGebruikGrondwater_6"
"18";"1050010";"2003JJ00";;;
"19";"1050010";"2004JJ00";;;
"20";"1050010";"2005JJ00";;;
"21";"1050010";"2006JJ00";;;
"22";"1050010";"2007JJ00";;;
"23";"1050010";"2008JJ00";;;
"24";"1050010";"2009JJ00";;;
"25";"1050010";"2010JJ00";;;
"26";"1050010";"2011JJ00";;;
"27";"1050010";"2012JJ00";;;
"28";"1050010";"2013JJ00";;;
"29";"1050010";"2014JJ00";;;
"30";"1050010";"2015JJ00";;;
"31";"1050010";"2016JJ00";;;
"32";"1050010";"2017JJ00";;;
"33";"1050010";"2018JJ00";;;
"34";"1050010";"2019JJ00";;;
"35";"1050010";"2020JJ00";;;
"54";"301000 ";"2003JJ00";"141.7";"0";"141.7"
"55";"301000 ";"2004JJ00";"55.3";"0";"55.3"
"56";"301000 ";"2005JJ00";"54.8";"0";"54.8"
"57";"301000 ";"2006JJ00";"92";"0";"92"
"58";"301000 ";"2007JJ00";"49.3";"0";"49.3"
"59";"301000 ";"2008JJ00";"51.6";"0";"51.6"
"60";"301000 ";"2009JJ00";"73.4";"0";"73.4"
"61";"301000 ";"2010JJ00";"93.2";"0";"93.2"
"62";"301000 ";"2011JJ00";"88.6";"0";"88.6"
"63";"301000 ";"2012JJ00";"46.7";"0";"46.7"
"64";"301000 ";"2013JJ00";"83";"0";"83"
"65";"301000 ";"2014JJ00";"60.8";"0";"60.8"
"66";"301000 ";"2015JJ00";"77";"0";"77"
"67";"301000 ";"2016JJ00";"56.4";"0";"56.4"
"68";"301000 ";"2017JJ00";"97";"0";"97"
"69";"301000 ";"2018JJ00";"225.3";"0";"225.3"
"70";"301000 ";"2019JJ00";"198.8";"0";"198.8"
"71";"301000 ";"2020JJ00";"214.2";"0";"214.2"
"72";"305700 ";"2003JJ00";"0.1";"0";"0"
"73";"305700 ";"2004JJ00";"0.1";"0";"0"
"74";"305700 ";"2005JJ00";"0.1";"0";"0"
"75";"305700 ";"2006JJ00";"0.1";"0";"0"
"76";"305700 ";"2007JJ00";"0.1";"0";"0"
"77";"305700 ";"2008JJ00";"0.1";"0";"0"
