"ID";"Watergebruikers";"Perioden";"TotaalOppervlaktewater_7";"ZoetOppervlaktewater_8";"ZoutOppervlaktewater_9"
"18";"1050010";"2003JJ00";;;
"19";"1050010";"2004JJ00";;;
"20";"1050010";"2005JJ00";;;
"21";"1050010";"2006JJ00";;;
"22";"1050010";"2007JJ00";;;
"23";"1050010";"2008JJ00";;;
"24";"1050010";"2009JJ00";;;
"25";"1050010";"2010JJ00";;;
"26";"1050010";"2011JJ00";;;
"27";"1050010";"2012JJ00";;;
"28";"1050010";"2013JJ00";;;
"29";"1050010";"2014JJ00";;;
"30";"1050010";"2015JJ00";;;
"31";"1050010";"2016JJ00";;;
"32";"1050010";"2017JJ00";;;
"33";"1050010";"2018JJ00";;;
"34";"1050010";"2019JJ00";;;
"35";"1050010";"2020JJ00";;;
"54";"301000 ";"2003JJ00";"57.3";"57.3";"0"
"55";"301000 ";"2004JJ00";"32.2";"32.2";"0"
"56";"301000 ";"2005JJ00";"20";"20";"0"
"57";"301000 ";"2006JJ00";"29.9";"29.9";"0"
"58";"301000 ";"2007JJ00";"22.6";"22.6";"0"
"59";"301000 ";"2008JJ00";"20.1";"20.1";"0"
"60";"301000 ";"2009JJ00";"19.5";"19.5";"0"
"61";"301000 ";"2010JJ00";"28.7";"28.7";"0"
"62";"301000 ";"2011JJ00";"30.9";"30.9";"0"
"63";"301000 ";"2012JJ00";"13.5";"13.5";"0"
"64";"301000 ";"2013JJ00";"23.9";"23.9";"0"
"65";"301000 ";"2014JJ00";"21.9";"21.9";"0"
"66";"301000 ";"2015JJ00";"28.9";"28.9";"0"
"67";"301000 ";"2016JJ00";"20.1";"20.1";"0"
"68";"301000 ";"2017JJ00";"22.7";"22.7";"0"
"69";"301000 ";"2018JJ00";"76.8";"76.8";"0"
"70";"301000 ";"2019JJ00";"54.6";"54.6";"0"
"71";"301000 ";"2020JJ00";"93";"93";"0"
"72";"305700 ";"2003JJ00";"7.8";"1.1";"6.6"
"73";"305700 ";"2004JJ00";"5.6";"1";"4.6"
"74";"305700 ";"2005JJ00";"4.6";"0.9";"3.7"
"75";"305700 ";"2006JJ00";"4.5";"0.9";"3.6"
"76";"305700 ";"2007JJ00";"35.7";"0.8";"34.9"
